source,row_id,paper_id_dd,doi,overlap_flag,emission_nm,T_growth_C,time_min,FWHM_nm,QY_percent,PL_peak_nm_core,route,system_tag,shell_present_flag,data_quality_tier,measurement_state,caution_count,abs_nm,diameter_nm,in_source,in_amount_mmol,p_source,p_amount_mmol,ligand_source,ligand_amount_mmol,first_sol,second_sol,acid,acid_amount_mmol,total_volume_ml
cossairt,cos_raw_row_149,,10.1016/j.apsusc.2019.01.067,0,None,220,20,,,,,,,,,,592,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_150,,10.1016/j.apsusc.2019.01.067,0,None,140,30,,,,,,,,,,440,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_151,,10.1016/j.apsusc.2019.01.067,0,None,140,30,,,,,,,,,,410,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_152,,10.1016/j.apsusc.2019.01.067,0,None,160,30,,,,,,,,,,492,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_153,,10.1016/j.apsusc.2019.01.067,0,None,180,30,,,,,,,,,,550,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_154,,10.1016/j.apsusc.2019.01.067,0,None,220,30,,,,,,,,,,600,None,indium chloride,0.9,tris(diethylamino)phosphine,3.2,oleylamine,17.2,None,None,None,0,5.66
cossairt,cos_raw_row_155,,10.1021/acsanm.8b02063,1,477,240,60,,,,,,,,,,430,2,indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,None,0,octadecene,trioctylphosphine,lauric acid,1.8,11
cossairt,cos_raw_row_156,,10.1038/s42004-019-0138-z,0,None,180,30,,,,,,,,,,None,2.48,indium chloride,0.45,tris(dimethylamino)phosphine,1.6,oleylamine,6.15,None,None,None,0,2.024
cossairt,cos_raw_row_157,,10.1021/acs.jpclett.9b02386,1,None,200,60,,,,,,,,,,420,2,indium chloride,0.45,tris(dimethylamino)phosphine,1.93,oleylamine,15.2,None,None,None,0,5.002
cossairt,cos_raw_row_158,,10.1039/c9nr06847c,0,477,240,60,,,,,,,,,,430,2,indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,None,None,octadecene,trioctylphosphine,lauric acid,1.8,11
cossairt,cos_raw_row_159,,10.1002/smll.201905162,0,None,260,60,,,,,,,,,,None,2.4,indium acetate,3,tris(trimethylsilyl)phosphine,1.5,None,0,octadecene,trioctylphosphine,oleic acid,9,48
cossairt,cos_raw_row_160,,10.1038/s41586-019-1771-5,1,None,260,40,,,,,,,,,,500,2.7,indium acetate,4,tris(trimethylsilyl)phosphine,2,None,0,octadecene,trioctylphosphine,palmitic acid,12,110
cossairt,cos_raw_row_161,,10.1021/acs.jpcc.9b07092,0,None,180,5,,,,,,,,,,550,3.2,indium chloride,0.45,tris(dimethylamino)phosphine,1.38,dodecylamine,3.7,None,None,None,0,0.85
cossairt,cos_raw_row_162,,10.1021/acs.chemmater.8b01789,0,None,180,30,,,,,,,,,,560,3.2,indium chloride,0.225,tris(diethylamino)phosphine,0.8,oleylamine,7.5,None,None,None,0,2.468
cossairt,cos_raw_row_163,,10.1021/acs.jpclett.9b02386,1,625,200,60,,,,,,,,,,590,4.3,indium chloride,0.45,tris(dimethylamino)phosphine,1.93,oleylamine,15.2,None,None,None,0,5.002
cossairt,cos_raw_row_164,,10.1038/s41586-019-1771-5,1,None,260,1,,,,,,,,,,465,None,indium acetate,4,tris(trimethylsilyl)phosphine,2,None,0,octadecene,trioctylphosphine,palmitic acid,12,110
