doi,in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1021/acsanm.8b02063,indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,2.242095008,lauric acid,1.8,None,0,None,0,zinc acetate,1.2,oleic acid,2.4,11,240,60,2,430,477,7/13/2021,Nayon
10.1021/acsenergylett.0c02165,indium acetate,0.34,tris(trimethylsilyl)phosphine,0.23,octadecene,9,None,0,oleic acid,1,None,0,None,0,None,0,None,0,9,310,10,3.2,None,None,7/21/2021,Hao
10.1021/acsnano.0c08683,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,stearic acid,3.6,None,0,None,0,None,0,None,0,12,230,15,None,498,542,7/11/2021,Florence
10.1021/acsnano.0c08683,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,palmitic acid,3.6,None,0,None,0,None,0,None,0,12,230,5,None,502,548,7/11/2021,Florence
10.1021/acsnano.0c08683,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,myristic acid,3.6,None,0,None,0,None,0,None,0,12,230,5,None,512,554,7/11/2021,Florence
10.1021/acsnano.0c08683,indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,oleic acid,3.6,None,0,None,0,None,0,None,0,12,230,15,None,512,558,7/11/2021,Florence
10.1021/acsnano.8b06692,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1.121047504,palmitic acid,0.6,None,0,None,0,None,0,None,0,10.5,280,20,2.5,580,None,7/27/2021,Melanie Cash
10.1021/acsnano.8b06692,indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1.121047504,palmitic acid,0.6,None,0,None,0,None,0,None,0,10.5,280,20,3.26,584,615,7/27/2021,Hao
10.1021/cm201550w,indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,oleic acid,0.3,None,0,None,0,zinc oleate,0.13,None,0,10,300,10,None,460,480,7/30/2021,Hao
10.1021/cm401289j,indium acetate,0.4,bis(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,None,0,7.6,285,8,None,537,None,6/26/2021,Hao
